13,Christchurch Place,12,8,False,20,False,Dublin,1458056008000,CHRISTCHURCH PLACE,6,"{'lat': 53.343368, 'lng': -6.27012}",OPEN,20160315153654
14,Grantham Street,28,2,True,30,False,Dublin,1458056005000,GRANTHAM STREET,18,"{'lat': 53.334123, 'lng': -6.265436}",OPEN,20160315153654
15,York Street East,8,24,False,32,False,Dublin,1458056103000,YORK STREET EAST,52,"{'lat': 53.338755, 'lng': -6.262003}",OPEN,20160315153654
16,Portobello Road,28,2,True,30,False,Dublin,1458055623000,PORTOBELLO ROAD,43,"{'lat': 53.330091, 'lng': -6.268044}",OPEN,20160315153654
17,Parnell Street,19,1,False,20,False,Dublin,1458055824000,PARNELL STREET,31,"{'lat': 53.350929, 'lng': -6.265125}",OPEN,20160315153654
18,Frederick Street South,7,33,True,40,False,Dublin,1458055853000,FREDERICK STREET SOUTH,98,"{'lat': 53.341515, 'lng': -6.256853}",OPEN,20160315153654
19,Fownes Street Upper,9,20,False,30,False,Dublin,1458056177000,FOWNES STREET UPPER,14,"{'lat': 53.344603, 'lng': -6.263371}",OPEN,20160315153654
20,Chatham Street,12,18,False,29,False,Dublin,1458055936000,CHATHAM STREET,1,"{'lat': 53.340962, 'lng': -6.262287}",OPEN,20160315153654
21,Custom House,22,8,True,30,False,Dublin,1458055805000,CUSTOM HOUSE,23,"{'lat': 53.348279, 'lng': -6.254662}",OPEN,20160315153654
22,Benson Street,5,35,False,40,False,Dublin,1458055592000,BENSON STREET,90,"{'lat': 53.344153, 'lng': -6.233451}",OPEN,20160315153654
23,Fenian Street,2,33,False,35,False,Dublin,1458056140000,FENIAN STREET,63,"{'lat': 53.341428, 'lng': -6.24672}",OPEN,20160315153654
24,South Dock Road,24,6,False,30,False,Dublin,1458056086000,SOUTH DOCK ROAD,91,"{'lat': 53.341833, 'lng': -6.231291}",OPEN,20160315153654
25,The Point,36,4,True,40,False,Dublin,1458056163000,THE POINT,67,"{'lat': 53.346867, 'lng': -6.230852}",OPEN,20160315153654
26,Lime Street,17,23,False,40,False,Dublin,1458056113000,LIME STREET,62,"{'lat': 53.346026, 'lng': -6.243576}",OPEN,20160315153654
27,Kilmainham Gaol,38,2,True,40,False,Dublin,1458056050000,KILMAINHAM GAOL,97,"{'lat': 53.342113, 'lng': -6.310015}",OPEN,20160315153654
28,Guild Street,25,15,False,40,False,Dublin,1458056074000,GUILD STREET,49,"{'lat': 53.347932, 'lng': -6.240928}",OPEN,20160315153654
29,Herbert Place,2,26,False,30,False,Dublin,1458056180000,HERBERT PLACE,19,"{'lat': 53.334432, 'lng': -6.245575}",OPEN,20160315153654
30,Western Way,40,0,False,40,False,Dublin,1458056087000,WESTERN WAY,102,"{'lat': 53.354929, 'lng': -6.269425}",OPEN,20160315153654
31,Newman House,6,34,False,40,False,Dublin,1458055993000,NEWMAN HOUSE,53,"{'lat': 53.337132, 'lng': -6.26059}",OPEN,20160315153654
32,King Street North,27,3,False,30,False,Dublin,1458055777000,KING STREET NORTH,101,"{'lat': 53.350291, 'lng': -6.273507}",OPEN,20160315153654
33,Herbert Street,0,40,False,40,False,Dublin,1458055839000,HERBERT STREET,47,"{'lat': 53.335742, 'lng': -6.24551}",OPEN,20160315153654
34,Earlsfort Terrace,9,21,False,30,False,Dublin,1458056167000,EARLSFORT TERRACE,11,"{'lat': 53.334019, 'lng': -6.258371}",OPEN,20160315153654
35,Golden Lane,19,1,False,20,False,Dublin,1458055883000,GOLDEN LANE,17,"{'lat': 53.340803, 'lng': -6.267732}",OPEN,20160315153654
36,Deverell Place,21,9,False,30,False,Dublin,1458055902000,DEVERELL PLACE,45,"{'lat': 53.351464, 'lng': -6.255265}",OPEN,20160315153654
37,John Street West,30,1,False,31,False,Dublin,1458056172000,JOHN STREET WEST,72,"{'lat': 53.343105, 'lng': -6.277167}",OPEN,20160315153654
38,City Quay,22,8,False,30,False,Dublin,1458056045000,CITY QUAY,99,"{'lat': 53.346637, 'lng': -6.246154}",OPEN,20160315153654
39,Exchequer Street,12,12,False,24,False,Dublin,1458056177000,EXCHEQUER STREET,9,"{'lat': 53.343034, 'lng': -6.263578}",OPEN,20160315153654
40,Hatch Street,18,18,False,36,False,Dublin,1458056109000,HATCH STREET,55,"{'lat': 53.33403, 'lng': -6.260714}",OPEN,20160315153654
41,Charlemont Street,33,7,False,40,False,Dublin,1458056108000,CHARLEMONT PLACE,5,"{'lat': 53.330662, 'lng': -6.260177}",OPEN,20160315153654
42,Hardwicke Place,25,0,True,25,False,Dublin,1458055839000,HARDWICKE PLACE,61,"{'lat': 53.357043, 'lng': -6.263232}",OPEN,20160315153654
43,Wolfe Tone Street,27,2,False,29,False,Dublin,1458055896000,WOLFE TONE STREET,77,"{'lat': 53.348875, 'lng': -6.267459}",OPEN,20160315153654
44,Francis Street,25,5,True,30,False,Dublin,1458056184000,FRANCIS STREET,73,"{'lat': 53.342081, 'lng': -6.275233}",OPEN,20160315153654
45,Greek Street,20,0,False,20,False,Dublin,1458056091000,GREEK STREET,4,"{'lat': 53.346874, 'lng': -6.272976}",OPEN,20160315153654
46,High Street,23,6,True,29,False,Dublin,1458056061000,HIGH STREET,7,"{'lat': 53.343565, 'lng': -6.275071}",OPEN,20160315153654
47,North Circular Road,27,3,True,30,False,Dublin,1458056094000,NORTH CIRCULAR ROAD,60,"{'lat': 53.359624, 'lng': -6.260348}",OPEN,20160315153654
48,Talbot Street,30,10,False,40,False,Dublin,1458056157000,TALBOT STREET,38,"{'lat': 53.350974, 'lng': -6.25294}",OPEN,20160315153654
49,Sir Patrick's Dun,10,30,True,40,False,Dublin,1458056137000,SIR PATRICK DUN'S,58,"{'lat': 53.339218, 'lng': -6.240642}",OPEN,20160315153654
50,New Central Bank,33,7,False,40,False,Dublin,1458055771000,NEW CENTRAL BANK,66,"{'lat': 53.347122, 'lng': -6.234749}",OPEN,20160315153654
51,Georges Quay,20,0,False,20,False,Dublin,1454065289000,GEORGES QUAY,16,"{'lat': 53.347508, 'lng': -6.252192}",CLOSED,20160315153654
52,Mount Brown,16,6,False,22,False,Dublin,1458055892000,MOUNT BROWN,82,"{'lat': 53.341645, 'lng': -6.29719}",OPEN,20160315153654
53,Royal Hospital,34,6,True,40,False,Dublin,1458055940000,ROYAL HOSPITAL,95,"{'lat': 53.343897, 'lng': -6.29706}",OPEN,20160315153654
54,Heuston Station (Central),40,0,False,40,False,Dublin,1458055998000,HEUSTON STATION (CENTRAL),93,"{'lat': 53.346603, 'lng': -6.296924}",OPEN,20160315153654
